Rank,Team,Members,Score,Entries,Last,Join
#,Team,Members,Score,Entries,Last,Join
1,Alexander,Alexander,,0.05540,0.05540,21
2,Kyr1ll :P,Kyr1ll :P,,0.05543,0.05543,9
3,OzanM.,OzanM.,,0.05543,0.05543,30
4,Tilii,Tilii,,0.05543,0.05543,20
5,AnthonyTherrien,AnthonyTherrien,,0.05543,0.05543,23
6,Sophia_Carter,Sophia_Carter,,0.05543,0.05543,3
7,Mahog,Mahog,,0.05544,0.05544,9
8,Daniil Styrov,Daniil Styrov,,0.05545,0.05545,11
9,Ravi Ramakrishnan,Ravi Ramakrishnan,,0.05545,0.05545,10
10,Masaya Kawamata,Masaya Kawamata,,0.05545,0.05545,24
11,M.Devian rafi Rhefanza Zackary,M.Devian rafi Rhefanza Zackary,,0.05545,0.05545,15
12,Sujal Neupane,Sujal Neupane,,0.05545,0.05545,8
13,Pirhosseinlou,Pirhosseinlou,,0.05546,0.05546,17
14,Nina,Nina,,0.05546,0.05546,27
15,Labib Shahriar,Labib Shahriar,,0.05546,0.05546,17
16,RISALAT LABIB,RISALAT LABIB,,0.05546,0.05546,1
17,AIST Lab,AIST Lab,,0.05546,0.05546,17
18,Here,Here,,0.05546,0.05546,2
19,Hu Xingyu,Hu Xingyu,,0.05546,0.05546,3
20,YouTuber @DataScience,YouTuber @DataScience,,0.05546,0.05546,7
21,lytCNAORevision2018,lytCNAORevision2018,,0.05546,0.05546,7
22,Udesh Senevirathne,Udesh Senevirathne,,0.05546,0.05546,5
23,Mathurin Aché,Mathurin Aché,,0.05546,0.05546,2
24,sdy623,sdy623,,0.05546,0.05546,4
25,Sung Hur,Sung Hur,,0.05546,0.05546,18
26,Jeki Wan Taufik,Jeki Wan Taufik,,0.05546,0.05546,4
27,Shivansh Jha,Shivansh Jha,,0.05546,0.05546,12
28,Leonardo Cofone,Leonardo Cofone,,0.05546,0.05546,12
29,Code by Nadiia,Code by Nadiia,,0.05546,0.05546,9
30,Mikhail Naumov,Mikhail Naumov,,0.05546,0.05546,26
31,Sumit Bhardwaj,Sumit Bhardwaj,,0.05547,0.05547,10
32,Octavi Grau,Octavi Grau,,0.05547,0.05547,3
33,Auravana,Auravana,,0.05547,0.05547,1
34,WhizBrain,WhizBrain,,0.05547,0.05547,1
35,Painted Blend,Painted Blend,,0.05547,0.05547,16
36,Will,Will,,0.05547,0.05547,6
37,Optimistix,Optimistix,,0.05547,0.05547,12
38,Lunthu,Lunthu,,0.05547,0.05547,10
39,SDeogade,SDeogade,,0.05547,0.05547,10
40,SRIMAL_LAKSHITHA,SRIMAL_LAKSHITHA,,0.05547,0.05547,5
41,Can Özensoy,Can Özensoy,,0.05547,0.05547,18
42,Charismatic Pizza Party🍕,Charismatic Pizza Party🍕,,0.05547,0.05547,1
43,Sweety Suman,Sweety Suman,,0.05547,0.05547,1
44,Ankit Sharma,Ankit Sharma,,0.05547,0.05547,5
45,AC,AC,,0.05547,0.05547,6
46,Oriol Raventós Toribio,Oriol Raventós Toribio,,0.05547,0.05547,4
47,BELBIN BENO R M,BELBIN BENO R M,,0.05547,0.05547,3
48,Karan Patel,Karan Patel,,0.05547,0.05547,7
49,nice kazusan,nice kazusan,,0.05548,0.05548,24
